Longueur;Poids;K
78;8,0;1,69
68;5,0;1,59
75;6,7;1,59
73;6,6;1,70
75;6,8;1,61
72;6,6;1,77
74;5,9;1,46
70;5,4;1,57
75;6,5;1,54
77;7,1;1,56
76;7,3;1,66
80;8,8;1,72
71;6,1;1,70
79;8,1;1,64
72;6,7;1,80
78;7,5;1,58
80;8,9;1,74
71;6,1;1,70
70;6,1;1,78
75;7,0;1,66
76;7,3;1,66
73;6,7;1,72
72;5,9;1,58
73;6,4;1,65
75;6,9;1,64
80;8,2;1,60
73;6,9;1,77
79;7,9;1,60
74;7,2;1,78
84;10,0;1,69
74;6,2;1,53
81;8,8;1,66
72;6,3;1,69
78;6,9;1,45
72;6,3;1,69
78;6,8;1,43
78;6,7;1,41
78;7,3;1,54
78;7,5;1,58
75;6,3;1,49
70;5,5;1,60
74;6,3;1,55
76;6,8;1,55
70;5,6;1,63
71;6,2;1,73
76;6,5;1,48
70;5,8;1,69
79;7,5;1,52
76;7,6;1,73
70;5,6;1,63
75;6,9;1,64
72;5,9;1,58
76;6,9;1,57
73;6,5;1,67
84;9,1;1,54
74;6,6;1,63
80;8,5;1,66
70;6,1;1,78
79;8,1;1,64
73;6,4;1,65
72;6,2;1,66
82;8,4;1,52
85;9,5;1,55
79;7,9;1,60
74;6,2;1,53
72;6,2;1,66
70;5,7;1,66
67;4,8;1,60
77;7,3;1,60
69;5,2;1,58
73;6,0;1,54
75;6,7;1,59
81;8,8;1,66
68;5,4;1,72
79;7,9;1,60
85;8,7;1,42
71;5,7;1,59
80;7,6;1,48
78;7,7;1,62
79;8,2;1,66
75;7,0;1,66
84;9,0;1,52
92;13,5;1,73
69;5,8;1,77
67;4,4;1,46
73;6,0;1,54
70;5,6;1,63
70;5,3;1,55
75;6,4;1,52
74;7,3;1,80
75;6,6;1,56
80;8,0;1,56
79;6,8;1,38
75;5,8;1,37
73;6,2;1,59
72;6,5;1,74
71;6,1;1,70
77;7,8;1,71
72;5,9;1,58
75;6,2;1,47
74;7,1;1,75
80;8,5;1,66
70;5,5;1,60
75;6,5;1,54
79;7,4;1,50
76;6,9;1,57
78;7,9;1,66
85;9,5;1,55
72;6,0;1,61
77;6,5;1,42
69;5,6;1,70
75;7,2;1,71
78;7,7;1,62
75;6,5;1,54
69;5,2;1,58
73;6,2;1,59
76;6,5;1,48
69;5,8;1,77
69;5,7;1,74
75;6,5;1,54
70;5,5;1,60
70;5,6;1,63
86;10,7;1,68
75;6,7;1,59
72;6,6;1,77
72;6,1;1,63
69;5,2;1,58
85;9,8;1,60
92;13,1;1,68
75;6,8;1,61
67;5,4;1,80
68;5,0;1,59
70;5,8;1,69
72;6,3;1,69
80;8,1;1,58
74;6,5;1,60
76;7,1;1,62
70;5,4;1,57
75;6,3;1,49
76;7,0;1,59
73;5,8;1,49
69;5,4;1,64
68;5,0;1,59
73;5,9;1,52
78;7,9;1,66
68;5,4;1,72
72;6,3;1,69
78;7,2;1,52
70;5,7;1,66
65;4,1;1,49
76;7,4;1,69
73;5,8;1,49
75;6,1;1,45
69;5,5;1,67
77;7,5;1,64
77;7,3;1,60
70;5,3;1,55
70;5,4;1,57
70;5,4;1,57
74;6,4;1,58
75;6,9;1,64
80;8,0;1,56
70;5,8;1,69
68;4,7;1,49
76;7,0;1,59
71;5,6;1,56
69;4,9;1,49
70;5,4;1,57
74;6,6;1,63
79;7,3;1,48
69;5,2;1,58
64;4,2;1,60
73;6,3;1,62
74;6,3;1,55
70;5,5;1,60
75;6,8;1,61
65;4,6;1,68
74;6,2;1,53
80;8,1;1,58
72;6,0;1,61
70;6,0;1,75
69;4,7;1,43
77;6,8;1,49
79;7,6;1,54
75;7,0;1,66
80;7,6;1,48
71;5,8;1,62
70;5,8;1,69
75;6,9;1,64
75;6,7;1,59
69;5,7;1,74
78;7,8;1,64
80;8,0;1,56
70;5,7;1,66
76;6,8;1,55
65;4,7;1,71
70;5,5;1,60
75;6,5;1,54
71;5,8;1,62
76;7,7;1,75
